adj_amb,cond_group,item,verb_bias,explanation,pronoun,pronoun_type,new_sent,question_answers,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,adj,german_adj_freq,german_adj_length,verb,german_verb_freq,german_verb_length,Susanne_avgRating_Score,story,question,left,right,left_pronoun,right_pronoun,correct,Context,context,context_story,target_story,full_text,context_region_count,target_region_count,total_region_count,context_article_chunk_count,q_type,Intended referent,intended_answer_text,intended_answer_side,intended_answer_key,correct_response,type1_ambiguous,real_NP1_gender,real_NP2_gender,generated_version,Causality
nonamb,3,2,NP1,NP1-Causality,sie,amb,"Eva störte Katharina, weil sie am späten Nachmittag laut war und das Meeting unterbrach.",Wer störte Katharina? (Eva / Birgit),annoyed,StimExp,7.0,268.0,-2.0,79,aggressiv,19.09,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Eva störte Katharina,
weil_sie am späten Nachmittag laut_war und das_Meeting unterbrach.",Wer störte Katharina?,Eva,Birgit,sie,sie,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Eva störte Katharina,
weil_sie am späten Nachmittag laut_war und das_Meeting unterbrach.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Eva störte Katharina, weil sie am späten Nachmittag laut war und das Meeting unterbrach.",7,11,18,3,2,NP1,Eva,left,F,F,False,female,female,both_female,NP1-Causality
nonamb,4,2,NP1,NP1-Causality,sie,sie,"Eva störte Sebastian, weil sie am späten Nachmittag laut war und das Meeting unterbrach.",Wer störte Sebastian? (Eva / Laura),annoyed,StimExp,7.0,268.0,-2.0,79,aggressiv,19.09,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Eva störte Sebastian,
weil_sie am späten Nachmittag laut_war und das_Meeting unterbrach.",Wer störte Sebastian?,Eva,Laura,sie,sie,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Eva störte Sebastian,
weil_sie am späten Nachmittag laut_war und das_Meeting unterbrach.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Eva störte Sebastian, weil sie am späten Nachmittag laut war und das Meeting unterbrach.",7,11,18,3,2,NP1,Eva,left,F,F,False,female,male,swapped,NP1-Causality
nonamb,5,2,NP1,NP2-Causality,sie,sie,"Peter störte Katharina, weil sie am späten Nachmittag übermüdet war und keine Pause bekam.",Wer störte Katharina? (Peter / Frank),annoyed,StimExp,7.0,268.0,-2.0,79,erschöpft,10.12,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Peter störte Katharina,
weil_sie am späten Nachmittag übermüdet_war und keine_Pause bekam.",Wer störte Katharina?,Peter,Frank,er,er,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Peter störte Katharina,
weil_sie am späten Nachmittag übermüdet_war und keine_Pause bekam.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Peter störte Katharina, weil sie am späten Nachmittag übermüdet war und keine Pause bekam.",7,11,18,3,2,NP2,Peter,left,F,F,False,male,female,original,NP2-Causality
nonamb,6,2,NP1,NP2-Causality,er,amb,"Peter störte Sebastian, weil er am späten Nachmittag übermüdet war und keine Pause bekam.",Wer störte Sebastian? (Peter / Frank),annoyed,StimExp,7.0,268.0,-2.0,79,erschöpft,10.12,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Peter störte Sebastian,
weil_er am späten Nachmittag übermüdet_war und keine_Pause bekam.",Wer störte Sebastian?,Peter,Frank,er,er,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Peter störte Sebastian,
weil_er am späten Nachmittag übermüdet_war und keine_Pause bekam.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Peter störte Sebastian, weil er am späten Nachmittag übermüdet war und keine Pause bekam.",7,11,18,3,2,NP2,Peter,left,F,F,False,male,male,both_male,NP2-Causality
nonamb,7,2,NP1,NP2-Causality,sie,amb,"Eva störte Katharina, weil sie am späten Nachmittag übermüdet war und keine Pause bekam.",Wer störte Katharina? (Eva / Barbara),annoyed,StimExp,7.0,268.0,-2.0,79,erschöpft,10.12,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Eva störte Katharina,
weil_sie am späten Nachmittag übermüdet_war und keine_Pause bekam.",Wer störte Katharina?,Eva,Barbara,sie,sie,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Eva störte Katharina,
weil_sie am späten Nachmittag übermüdet_war und keine_Pause bekam.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Eva störte Katharina, weil sie am späten Nachmittag übermüdet war und keine Pause bekam.",7,11,18,3,2,NP2,Eva,left,F,F,False,female,female,both_female,NP2-Causality
nonamb,8,2,NP1,NP2-Causality,er,er,"Eva störte Sebastian, weil er am späten Nachmittag übermüdet war und keine Pause bekam.",Wer störte Sebastian? (Eva / Lena),annoyed,StimExp,7.0,268.0,-2.0,79,erschöpft,10.12,9.0,störte,2.33,6.0,87.5,"Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.
Eva störte Sebastian,
weil_er am späten Nachmittag übermüdet_war und keine_Pause bekam.",Wer störte Sebastian?,Eva,Lena,sie,sie,F,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung.,Am_späten_Nachmittag saß man im_Büro noch an einer_aufwendigen_Auswertung.,"Eva störte Sebastian,
weil_er am späten Nachmittag übermüdet_war und keine_Pause bekam.","Am späten Nachmittag saß man im Büro noch an einer aufwendigen Auswertung. Eva störte Sebastian, weil er am späten Nachmittag übermüdet war und keine Pause bekam.",7,11,18,3,2,NP2,Eva,left,F,F,False,female,male,swapped,NP2-Causality
nonamb,1,3,NP1,NP1-Causality,er,er,"Michael ärgerte Barbara, weil er um die Mittagszeit frech war und einen Witz machte.",Wen ärgerte Michael? (Barbara / Monika),angered,StimExp,7.0,11.0,-2.46,85,unüberhörbar,0.94,12.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Michael ärgerte Barbara,
weil_er um die Mittagszeit frech_war und einen_Witz machte.",Wen ärgerte Michael?,Barbara,Monika,sie,sie,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Michael ärgerte Barbara,
weil_er um die Mittagszeit frech_war und einen_Witz machte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Michael ärgerte Barbara, weil er um die Mittagszeit frech war und einen Witz machte.",9,11,20,4,3,NP1,Barbara,left,F,F,False,male,female,original,NP1-Causality
nonamb,2,3,NP1,NP1-Causality,er,amb,"Michael ärgerte Stefan, weil er um die Mittagszeit frech war und einen Witz machte.",Wen ärgerte Michael? (Stefan / Daniel),angered,StimExp,7.0,11.0,-2.46,85,unüberhörbar,0.94,12.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Michael ärgerte Stefan,
weil_er um die Mittagszeit frech_war und einen_Witz machte.",Wen ärgerte Michael?,Stefan,Daniel,er,er,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Michael ärgerte Stefan,
weil_er um die Mittagszeit frech_war und einen_Witz machte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Michael ärgerte Stefan, weil er um die Mittagszeit frech war und einen Witz machte.",9,11,20,4,3,NP1,Stefan,left,F,F,False,male,male,both_male,NP1-Causality
nonamb,3,3,NP1,NP1-Causality,sie,amb,"Nina ärgerte Barbara, weil sie um die Mittagszeit frech war und einen Witz machte.",Wen ärgerte Nina? (Barbara / Birgit),angered,StimExp,7.0,11.0,-2.46,85,unüberhörbar,0.94,12.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Nina ärgerte Barbara,
weil_sie um die Mittagszeit frech_war und einen_Witz machte.",Wen ärgerte Nina?,Barbara,Birgit,sie,sie,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Nina ärgerte Barbara,
weil_sie um die Mittagszeit frech_war und einen_Witz machte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Nina ärgerte Barbara, weil sie um die Mittagszeit frech war und einen Witz machte.",9,11,20,4,3,NP1,Barbara,left,F,F,False,female,female,both_female,NP1-Causality
nonamb,4,3,NP1,NP1-Causality,sie,sie,"Nina ärgerte Stefan, weil sie um die Mittagszeit frech war und einen Witz machte.",Wen ärgerte Nina? (Stefan / Marco),angered,StimExp,7.0,11.0,-2.46,85,unüberhörbar,0.94,12.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Nina ärgerte Stefan,
weil_sie um die Mittagszeit frech_war und einen_Witz machte.",Wen ärgerte Nina?,Stefan,Marco,er,er,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Nina ärgerte Stefan,
weil_sie um die Mittagszeit frech_war und einen_Witz machte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Nina ärgerte Stefan, weil sie um die Mittagszeit frech war und einen Witz machte.",9,11,20,4,3,NP1,Stefan,left,F,F,False,female,male,swapped,NP1-Causality
nonamb,5,3,NP1,NP2-Causality,sie,sie,"Michael ärgerte Barbara, weil sie um die Mittagszeit gereizt war und das Gespräch verweigerte.",Wen ärgerte Michael? (Barbara / Lisa),angered,StimExp,7.0,11.0,-2.46,85,überdrüssig,0.92,11.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Michael ärgerte Barbara,
weil_sie um die Mittagszeit gereizt_war und das_Gespräch verweigerte.",Wen ärgerte Michael?,Barbara,Lisa,sie,sie,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Michael ärgerte Barbara,
weil_sie um die Mittagszeit gereizt_war und das_Gespräch verweigerte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Michael ärgerte Barbara, weil sie um die Mittagszeit gereizt war und das Gespräch verweigerte.",9,11,20,4,3,NP2,Barbara,left,F,F,False,male,female,original,NP2-Causality
nonamb,6,3,NP1,NP2-Causality,er,amb,"Michael ärgerte Stefan, weil er um die Mittagszeit gereizt war und das Gespräch verweigerte.",Wen ärgerte Michael? (Stefan / Jürgen),angered,StimExp,7.0,11.0,-2.46,85,überdrüssig,0.92,11.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Michael ärgerte Stefan,
weil_er um die Mittagszeit gereizt_war und das_Gespräch verweigerte.",Wen ärgerte Michael?,Stefan,Jürgen,er,er,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Michael ärgerte Stefan,
weil_er um die Mittagszeit gereizt_war und das_Gespräch verweigerte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Michael ärgerte Stefan, weil er um die Mittagszeit gereizt war und das Gespräch verweigerte.",9,11,20,4,3,NP2,Stefan,left,F,F,False,male,male,both_male,NP2-Causality
nonamb,7,3,NP1,NP2-Causality,sie,amb,"Nina ärgerte Barbara, weil sie um die Mittagszeit gereizt war und das Gespräch verweigerte.",Wen ärgerte Nina? (Barbara / Anna),angered,StimExp,7.0,11.0,-2.46,85,überdrüssig,0.92,11.0,ärgerte,1.41,7.0,56.25,"Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.
Nina ärgerte Barbara,
weil_sie um die Mittagszeit gereizt_war und das_Gespräch verweigerte.",Wen ärgerte Nina?,Barbara,Anna,sie,sie,F,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation.,Um die_Mittagszeit kam es bei der_Vorbereitung des_gemeinsamen_Essens zu einer_angespannten_Situation.,"Nina ärgerte Barbara,
weil_sie um die Mittagszeit gereizt_war und das_Gespräch verweigerte.","Um die Mittagszeit kam es bei der Vorbereitung des gemeinsamen Essens zu einer angespannten Situation. Nina ärgerte Barbara, weil sie um die Mittagszeit gereizt war und das Gespräch verweigerte.",9,11,20,4,3,NP2,Barbara,left,F,F,False,female,female,both_female,NP2-Causality
